activation_day,activation_month,activation_year,locality,latitude,longitude,type,lease_type,property_size,property_age,furnishing,facing,floor,total_floor,building_type,water_supply,negotiable,cup_board,balconies,parking,bathroom,gym,lift,swimming_pool,internet,ac,club,intercom,cpa,fs,servant,security,sc,gp,park,rwh,stp,hk,pb,vp,rent
10,9,2017,Bellandur,12.92955671,77.6722797,2.0,4,1400,4.0,1,2.0,3.0,4.0,1,1,1,2.0,2.0,3,2.0,0,1,0,0,0,0.0,0,0.0,0,0.0,1,1,0.0,1,1.0,1.0,0,1,1.0,22000.0
6,12,2018,Thiruvanmiyur,12.98287026,80.26201214,3.0,2,1350,6.0,1,0.0,1.0,5.0,1,2,0,3.0,3.0,3,3.0,0,1,0,0,0,0.0,0,1.0,0,0.0,0,1,0.0,1,0.0,0.0,0,1,1.0,28000.0
20,7,2018,Attiguppe,12.95599061,77.53163369,1.0,2,600,3.0,1,0.0,1.0,2.0,2,1,1,1.0,0.0,1,1.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,8000.0
31,5,2018,Kodihalli,12.96390329,77.64944586,3.0,2,1500,15.0,1,0.0,0.0,0.0,2,1,1,4.0,1.0,3,3.0,0,0,0,0,0,0.0,0,1.0,0,0.0,0,0,0.0,1,0.0,0.0,0,0,1.0,45000.0
24,10,2017,"Seetharampalya,Hoodi",12.9861959,77.7183141,1.0,2,1080,0.0,1,0.0,3.0,5.0,1,2,1,1.0,2.0,3,2.0,1,1,1,0,0,1.0,0,1.0,1,0.0,1,0,0.0,0,0.0,0.0,0,1,0.0,18000.0
7,12,2018,"Narayanappa Garden,Whitefield",12.9671442,77.7506621,3.0,4,1895,5.0,2,2.0,3.0,9.0,1,1,1,5.0,3.0,3,3.0,1,1,1,1,1,1.0,1,1.0,1,1.0,1,1,0.0,1,1.0,1.0,1,1,1.0,32000.0
30,7,2018,HSR Layout 5th Sector,12.91741383,77.63176379,2.0,4,1000,10.0,1,4.0,0.0,2.0,2,2,1,2.0,0.0,3,2.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,1,0.0,0,0.0,0.0,0,1,1.0,22000.0
26,3,2018,Banashankari,12.92330118,77.55632407,2.0,4,900,10.0,1,4.0,0.0,1.0,2,1,0,2.0,0.0,0,2.0,0,0,0,1,0,0.0,0,0.0,0,0.0,1,1,0.0,1,0.0,0.0,0,0,0.0,10000.0
3,10,2018,Whitefield,12.97269719,77.75188033,2.0,4,1290,4.0,1,0.0,2.0,4.0,1,2,1,4.0,2.0,3,2.0,1,1,0,1,0,1.0,0,1.0,1,1.0,1,0,0.0,1,1.0,1.0,1,1,0.0,19500.0
7,11,2017,RR Nagar,12.91203861,77.51095016,2.0,2,1200,2.0,1,0.0,1.0,2.0,3,1,1,4.0,1.0,3,2.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,12500.0
11,5,2017,ITPL Residential Flats,12.9861748,77.7359562,2.0,4,1300,8.0,2,1.0,1.0,4.0,1,1,1,2.0,2.0,2,2.0,1,1,0,1,0,0.0,0,1.0,1,1.0,1,1,0.0,1,1.0,1.0,0,1,1.0,32000.0
27,8,2017,Raja Rajeshwari Nagar,12.92503445,77.51711461,2.0,4,930,7.0,1,0.0,1.0,4.0,1,1,1,2.0,1.0,3,2.0,0,1,0,1,0,0.0,0,0.0,1,1.0,1,1,0.0,1,1.0,1.0,1,1,0.0,11000.0
10,9,2017,"Prestige Shanthinikethan, Bengaluru, Karnataka, India",12.9890022,77.7273703,2.0,2,1418,4.0,1,0.0,11.0,14.0,1,2,0,2.0,2.0,2,2.0,1,1,1,1,0,1.0,1,1.0,1,0.0,1,1,0.0,1,0.0,0.0,0,1,0.0,32500.0
7,5,2018,Murugeshpalya,12.95477496,77.65003747,1.0,1,600,10.0,1,0.0,2.0,2.0,2,1,1,1.0,0.0,1,1.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,1,0.0,1,0.0,0.0,0,0,0.0,12000.0
3,11,2018,Sheshadripuram,12.98651659,77.57478136,2.0,2,1200,2.0,0,0.0,1.0,3.0,3,2,1,0.0,1.0,1,1.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0,0,0.0,15000.0
15,7,2018,Cox Town,12.99852641,77.63100653,3.0,2,1200,3.0,1,0.0,1.0,3.0,2,1,0,2.0,2.0,1,2.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,1,1.0,1,0.0,0.0,0,1,1.0,18500.0
14,8,2017,BTM 2nd Stage,12.9082396,77.6074088,3.0,4,1200,10.0,1,0.0,1.0,2.0,3,1,0,0.0,1.0,1,2.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,21000.0
15,12,2017,Chikkakannalli,12.90057001,77.70788521,2.0,2,1020,0.0,1,5.0,4.0,15.0,1,1,0,2.0,2.0,3,2.0,0,0,0,1,0,1.0,0,1.0,1,0.0,1,1,1.0,1,0.0,1.0,1,1,1.0,22000.0
6,8,2018,agara,12.9243632,77.6532669,2.0,4,1084,10.0,1,0.0,0.0,4.0,1,1,1,2.0,3.0,3,2.0,0,1,0,1,0,0.0,0,0.0,1,0.0,1,1,0.0,1,0.0,0.0,1,1,0.0,24000.0
8,9,2017,Doddanekkundi,12.9746806,77.70353616,2.0,2,1285,3.0,1,7.0,0.0,5.0,1,3,1,2.0,0.0,2,2.0,1,1,0,1,0,1.0,1,1.0,0,0.0,1,1,0.0,1,1.0,1.0,0,1,0.0,27000.0
19,6,2018,Munnekollal,12.95186174,77.7066702,2.0,4,600,1.0,1,0.0,2.0,2.0,3,1,1,2.0,1.0,0,1.0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0.0,0,0,0.0,14000.0
7,2,2018,"Hoodi Railway Station, 1, Sadaramangala Road, Kodigehalli, Krishnarajapura, Bengaluru, Karnataka 560036, India",12.9960482,77.719061,1.0,4,800,1.0,0,7.0,0.0,4.0,1,2,1,0.0,1.0,3,1.0,0,0,0,1,0,0.0,1,0.0,0,0.0,1,0,0.0,0,0.0,0.0,1,1,0.0,12000.0
17,5,2018,"Garudachar Palya,Mahadevapura",12.9923765,77.7026845,3.0,2,1610,8.0,1,0.0,2.0,19.0,1,2,1,6.0,3.0,3,2.0,1,1,1,1,0,1.0,1,1.0,1,0.0,1,1,1.0,1,1.0,1.0,0,1,1.0,36000.0
28,5,2018,Bommanahalli,12.90803896,77.62437345,2.0,2,1100,10.0,1,1.0,1.0,2.0,3,2,1,2.0,1.0,1,2.0,0,0,0,1,0,0.0,0,0.0,0,0.0,1,0,0.0,1,0.0,0.0,0,0,0.0,15000.0
5,8,2018,Hoodi,12.98529219,77.71810454,2.0,4,1200,10.0,1,0.0,0.0,1.0,3,2,1,2.0,0.0,3,2.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,20000.0
28,4,2018,Mahadevapura,12.9937143,77.6807931,2.0,4,800,3.0,1,0.0,3.0,3.0,1,2,0,1.0,0.0,3,2.0,0,1,0,1,0,0.0,1,1.0,1,0.0,1,1,1.0,1,1.0,0.0,1,1,1.0,16000.0
24,9,2017,Viveka Nagar,12.95216607,77.62247264,2.0,2,800,12.0,1,0.0,0.0,0.0,3,1,1,2.0,0.0,0,1.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,1,0.0,1,0.0,0.0,0,0,0.0,10000.0
13,7,2017,"Kadubeesanahalli,",12.9336504,77.7022315,2.0,2,1484,1.0,1,1.0,1.0,4.0,1,1,1,1.0,1.0,3,2.0,1,1,1,1,0,1.0,1,1.0,1,0.0,1,0,0.0,1,1.0,1.0,1,1,1.0,22000.0
24,6,2018,Sanjeevini Nagar,12.97182324,77.52198776,2.0,2,500,10.0,1,1.0,2.0,2.0,3,2,1,2.0,0.0,0,1.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,9000.0
24,6,2018,Doddanekundi,12.97372627,77.70822144,2.0,4,1200,5.0,1,7.0,2.0,4.0,1,1,0,2.0,1.0,3,2.0,0,1,0,1,0,0.0,1,0.0,0,0.0,1,1,0.0,0,0.0,0.0,0,1,0.0,19500.0
25,5,2018,Whitefield,12.95963193,77.74794814,2.0,4,1300,8.0,2,4.0,1.0,1.0,2,1,0,2.0,2.0,3,2.0,0,1,0,0,0,0.0,0,0.0,0,0.0,0,1,0.0,1,0.0,0.0,0,0,0.0,25000.0
24,4,2018,Indiranagar,12.97235646,77.64366828,6.0,1,250,10.0,1,0.0,0.0,2.0,3,1,1,1.0,0.0,1,1.0,0,0,0,1,0,0.0,0,1.0,0,0.0,0,1,0.0,1,0.0,0.0,0,0,0.0,11000.0
16,7,2017,Mahadevapura,12.99151617,77.70293323,3.0,4,1860,5.0,2,2.0,14.0,20.0,1,1,1,5.0,3.0,3,3.0,1,1,1,1,0,1.0,1,1.0,1,0.0,1,1,1.0,1,1.0,1.0,1,1,1.0,48000.0
7,6,2018,Brookefield,12.96146892,77.71904367,6.0,1,250,0.0,1,1.0,3.0,3.0,3,1,1,1.0,0.0,1,1.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,1,0.0,1,0.0,0.0,0,0,0.0,9000.0
14,4,2018,New Tippasandra,12.98220154,77.64837989,2.0,4,972,0.0,1,0.0,2.0,3.0,1,1,0,5.0,3.0,3,2.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.0,31000.0
7,2,2017,JP Nagar 1st Phase,12.91085303,77.57827029,3.0,2,1050,15.0,1,0.0,1.0,2.0,1,3,1,4.0,1.0,3,2.0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0.0,1,0,0.0,20000.0
4,8,2018,Vimanapura,12.96254812,77.68155776,2.0,2,850,1.0,1,1.0,2.0,2.0,3,1,0,2.0,1.0,1,2.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,1,0.0,0,0.0,1.0,0,0,0.0,19000.0
6,5,2018,Jayanagar,12.9297994,77.58953323,2.0,2,1050,10.0,1,0.0,2.0,3.0,3,2,1,3.0,0.0,1,1.0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,0,0.0,1,0.0,0.0,0,0,0.0,16000.0
24,2,2018,Uttarahalli Hobli,12.9076634,77.54547321,2.0,2,1175,0.0,1,1.0,4.0,5.0,1,2,1,3.0,2.0,3,2.0,1,1,1,1,0,1.0,1,1.0,1,0.0,1,0,1.0,0,1.0,0.0,1,1,1.0,20000.0
25,7,2017,Kaikondrahalli,12.91615213,77.67418514,3.0,4,1876,1.0,2,1.0,3.0,9.0,1,1,1,5.0,4.0,3,3.0,1,1,1,0,0,0.0,1,0.0,1,0.0,1,0,0.0,1,0.0,0.0,0,1,0.0,50000.0
28,7,2017,Kaggadasapura,12.97217341,77.65388683,2.0,4,750,5.0,1,0.0,0.0,0.0,2,1,1,2.0,0.0,3,1.0,0,0,0,1,0,0.0,0,1.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,12000.0
28,1,2018,Adugodi,12.94366081,77.60393738,2.0,4,900,12.0,1,1.0,2.0,2.0,3,2,1,2.0,1.0,1,1.0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,1,0.0,1,1.0,0.0,0,0,0.0,15000.0
26,3,2018,Jayanagar 5th Block,12.92394273,77.5839551,3.0,2,1200,10.0,1,1.0,1.0,1.0,3,3,0,4.0,1.0,1,2.0,0,0,0,1,0,0.0,0,1.0,0,0.0,0,1,0.0,1,0.0,0.0,0,0,0.0,30000.0
7,6,2017,Hanumantha Nagar,12.9425468,77.5625781,2.0,2,900,7.0,1,4.0,0.0,1.0,3,1,1,3.0,0.0,3,2.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,1,1,0.0,18000.0
26,5,2018,Basaveshwar Nagar,12.98905751,77.54061036,2.0,2,1100,9.0,1,1.0,3.0,3.0,3,2,1,5.0,1.0,1,2.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,1.0,0,0.0,0.0,0,0,0.0,14000.0
22,1,2018,Kasavanahalli,12.90771214,77.68045842,2.0,2,1230,0.0,1,0.0,2.0,3.0,1,3,0,2.0,2.0,2,2.0,0,1,0,1,0,0.0,1,1.0,1,1.0,1,1,1.0,1,1.0,1.0,1,1,1.0,21000.0
